country_code,location,pollutant,source_name,unit,value,last_updated,country_label,latitude,longitude
IN,"manali village, chennai - tnpcb",pm10,caaqm,µg/m³,26.87,2022-10-31 07:30:00+05:30,india,13.166200000000002,80.2584
IN,"rohini, delhi - dpcc",o3,caaqm,µg/m³,3.0,2022-10-31 06:15:00+05:30,india,28.732528,77.11992
IN,"palayam, kozhikode - kerala pcb",no2,caaqm,µg/m³,17.5,2022-10-16 10:15:00+05:30,india,11.249077,75.78437099999998
IN,"pwd juction, kohima - npcb",co,caaqm,µg/m³,340.0,2022-10-16 21:30:00+05:30,india,25.663541299999995,94.09898780000002
IN,"railway colony, guwahati - pcba",o3,caaqm,µg/m³,24.43,2022-10-31 07:15:00+05:30,india,26.181741999999996,91.78062999999999
IN,"rabindra sarobar, kolkata - wbpcb",o3,caaqm,µg/m³,7.5,2022-10-31 07:15:00+05:30,india,22.51106,88.35142
IN,"murthal, sonipat - hspcb",so2,caaqm,µg/m³,15.8,2022-10-16 21:30:00+05:30,india,29.027199999999997,77.0621
IN,"sector-12, karnal - hspcb",co,caaqm,µg/m³,1710.0,2022-10-31 07:00:00+05:30,india,29.6953,77.0027
IN,"sector-12, karnal - hspcb",so2,caaqm,µg/m³,8.02,2022-10-31 07:00:00+05:30,india,29.6953,77.0027
IN,"marhatal, jabalpur - mppcb",pm10,caaqm,µg/m³,91.0,2022-10-16 21:30:00+05:30,india,23.168606,79.932247
IN,"polayathode, kollam - kerala pcb",no2,caaqm,µg/m³,5.1,2022-10-16 21:15:00+05:30,india,8.8787,76.6073
IN,"sector-19a nerul, navi mumbai - iitm",so2,caaqm,µg/m³,1.31,2022-10-16 21:30:00+05:30,india,19.044,73.03250000000001
IN,"chakala-andheri east, mumbai - iitm",o3,caaqm,µg/m³,11.0,2022-10-16 18:30:00+05:30,india,19.110739999999996,72.86084
IN,"kadri, mangalore - kspcb",no2,caaqm,µg/m³,47.8,2022-10-31 07:15:00+05:30,india,12.889250000000002,74.853
IN,"tamaka ind. area, kolar - kspcb",o3,caaqm,µg/m³,5.12,2022-10-31 07:30:00+05:30,india,13.1276288,78.1570122
IN,"devaraj urs badavane, davanagere - kspcb",no2,caaqm,µg/m³,8.77,2022-10-16 18:30:00+05:30,india,14.475799999999998,75.9052
IN,"mit-kothrud, pune - iitm",no2,caaqm,µg/m³,11.64,2022-07-11 10:45:00+05:30,india,18.517754,73.8214883
IN,"siddharth nagar-worli, mumbai - iitm",no2,caaqm,µg/m³,45.37,2022-10-16 21:30:00+05:30,india,19.000083,72.813993
IN,"chandkheda, ahmedabad - iitm",co,caaqm,µg/m³,320.0,2022-10-16 21:15:00+05:30,india,23.107969,72.57464800000001
IN,"sac isro bopal, ahmedabad - iitm",o3,caaqm,µg/m³,8.03,2022-06-22 14:15:00+05:30,india,23.041136999999996,72.45669099999999
IN,"shahjahan garden, agra - uppcb",no2,caaqm,µg/m³,62.47,2022-10-31 07:30:00+05:30,india,27.169338,78.03582
IN,"dangi tola, rajgir - bspcb",pm2.5,caaqm,µg/m³,57.0,2022-10-16 21:15:00+05:30,india,25.032800000000005,85.41948000000001
IN,"buddhi vihar, moradabad - uppcb",co,caaqm,µg/m³,2090.0,2022-10-16 21:30:00+05:30,india,28.83526,78.7446
IN,"buddhi vihar, moradabad - uppcb",pm10,caaqm,µg/m³,143.55,2022-10-16 21:30:00+05:30,india,28.83526,78.7446
