country_code,location,pollutant,source_name,unit,value,last_updated,country_label,latitude,longitude,date,year,month,hour,weekday,is_weekend
IN,"jadavpur, kolkata - wbpcb",pm2.5,caaqm,µg/m³,52.3,2022-10-31 07:30:00+05:30,india,22.49929,88.36917,2022-10-31,2022,10,7,Monday,False
IN,"sector-18, panipat - hspcb",so2,caaqm,µg/m³,9.54,2022-10-31 07:15:00+05:30,india,29.497973,76.993331,2022-10-31,2022,10,7,Monday,False
IN,"police lines, jind - hspcb",o3,caaqm,µg/m³,0.57,2022-10-31 07:15:00+05:30,india,29.307814000000004,76.337619,2022-10-31,2022,10,7,Monday,False
IN,"jayanagar 5th block, bengaluru - kspcb",no2,caaqm,µg/m³,21.5,2022-10-31 07:30:00+05:30,india,12.920984000000002,77.584908,2022-10-31,2022,10,7,Monday,False
IN,"silk board, bengaluru - kspcb",co,caaqm,µg/m³,590.0,2022-10-31 07:30:00+05:30,india,12.917348000000002,77.622813,2022-10-31,2022,10,7,Monday,False
IN,"knowledge park - iii, greater noida - uppcb",co,caaqm,µg/m³,2730.0,2022-10-31 07:30:00+05:30,india,28.47272,77.48199999999999,2022-10-31,2022,10,7,Monday,False
IN,"hombegowda nagar, bengaluru - kspcb",so2,caaqm,µg/m³,4.8,2022-10-16 21:30:00+05:30,india,12.938539,77.5901,2022-10-16,2022,10,21,Sunday,True
IN,"hebbal, bengaluru - kspcb",o3,caaqm,µg/m³,17.07,2022-10-31 07:30:00+05:30,india,13.029151999999998,77.58590100000002,2022-10-31,2022,10,7,Monday,False
IN,"r k puram, delhi - dpcc",o3,caaqm,µg/m³,8.6,2022-10-31 06:15:00+05:30,india,28.563262000000005,77.186937,2022-10-31,2022,10,6,Monday,False
IN,"shyam nagar, palwal - hspcb",o3,caaqm,µg/m³,18.9,2020-01-01 14:45:00+05:30,india,28.1485564,77.33006669999999,2020-01-01,2020,1,14,Wednesday,False
IN,"shyam nagar, palwal - hspcb",o3,caaqm,µg/m³,12.85,2022-10-31 07:00:00+05:30,india,28.1485564,77.3320667,2022-10-31,2022,10,7,Monday,False
IN,"shyam nagar, palwal - hspcb",pm2.5,caaqm,µg/m³,17.2,2022-10-31 07:00:00+05:30,india,28.1485564,77.3320667,2022-10-31,2022,10,7,Monday,False
IN,"corporation ground, thrissur - kerala pcb",o3,caaqm,µg/m³,36.33,2022-10-16 21:00:00+05:30,india,10.5324,76.21590000000002,2022-10-16,2022,10,21,Sunday,True
IN,"gole bazar, katni - mppcb",o3,caaqm,µg/m³,47.0,2022-10-16 21:30:00+05:30,india,23.50016,80.23284,2022-10-16,2022,10,21,Sunday,True
IN,"mundka, delhi - dpcc",co,caaqm,µg/m³,600.0,2022-10-31 06:15:00+05:30,india,28.684678,77.076574,2022-10-31,2022,10,6,Monday,False
IN,"vidayagiri, bagalkot - kspcb",o3,caaqm,µg/m³,15.44,2022-10-16 21:15:00+05:30,india,16.172806000000005,75.659694,2022-10-16,2022,10,21,Sunday,True
IN,"victoria, kolkata - wbpcb",so2,caaqm,µg/m³,10.48,2022-10-31 07:15:00+05:30,india,22.5448082,88.34036909999999,2022-10-31,2022,10,7,Monday,False
IN,"ratanpura, rupnagar - ambuja cements",pm2.5,caaqm,µg/m³,83.38,2021-11-23 17:15:00+05:30,india,30.0325454,76.5623046,2021-11-23,2021,11,17,Tuesday,False
IN,"manali village, chennai - tnpcb",no2,caaqm,µg/m³,7.53,2022-10-31 07:30:00+05:30,india,13.166200000000002,80.2584,2022-10-31,2022,10,7,Monday,False
IN,"sector-51, gurugram - hspcb",so2,caaqm,µg/m³,4.94,2022-10-16 21:30:00+05:30,india,28.422699999999995,77.06669999999998,2022-10-16,2022,10,21,Sunday,True
IN,"teri gram, gurugram - hspcb",no2,caaqm,µg/m³,30.75,2022-10-16 21:30:00+05:30,india,28.4275,77.1465,2022-10-16,2022,10,21,Sunday,True
IN,"kalyana nagara, chikkamagaluru - kspcb",o3,caaqm,µg/m³,40.08,2022-10-16 21:30:00+05:30,india,13.328028000000002,75.797056,2022-10-16,2022,10,21,Sunday,True
IN,"railway colony, guwahati - pcba",pm2.5,caaqm,µg/m³,37.0,2022-10-31 07:15:00+05:30,india,26.181742,91.78063,2022-10-31,2022,10,7,Monday,False
IN,"rishi nagar, kaithal - hspcb",co,caaqm,µg/m³,2040.0,2022-10-31 07:30:00+05:30,india,29.8006,76.4155,2022-10-31,2022,10,7,Monday,False
