Country Name,Country Code,Series Name,Series Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
"Somalia, Fed. Rep.",SOM,Individuals using the Internet (% of population),IT.NET.USER.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0,..,..,..,..,0,0.00151,0.00295,0.00716,0.0139,0.02,0.0790392,0.115614,0.376198,1.05345,1.07733,1.10022,1.12224,1.14269,1.16061,..,1.25,1.3767,1.5,1.63,1.76,1.88,2.00405,..,..,15.0237,..,27.6,..,..
"Somalia, Fed. Rep.",SOM,GDP per capita (current US$),NY.GDP.PCAP.CD,62.7396279412993,64.9242576104754,67.1702359919979,69.4922344839154,71.8899399360419,74.3548708796131,76.4837413887233,78.6738966197917,80.8438204901175,84.1406268777878,93.0828499649358,90.4292309374489,113.69240195555,119.562133453537,137.891575811774,177.806143412254,199.583547142014,111.183132355277,117.255345126001,108.194947756464,101.499312257078,116.884526594286,129.013919752012,118.644340868341,122.493293689734,130.832875614815,131.414859681198,140.969852181578,145.341346820158,166.042337271006,145.603501373513,105.37132651622,109.204910481074,188.603158677914,210.793779581384,210.673254610492,237.241440951671,280.112724233259,363.200013489992,358.658780828071,386.119274401275,244.914842538455,229.598918310039,286.273025198975,375.410326225387,439.979907805478,457.996662206659,479.635628065289,507.03744334738,246.513251675105,219.202453852397,235.325945610434,350.261946720512,393.398703952979,429.431656725102,445.583080073396,460.928490585175,510.939952317726,509.497273804534,539.954816211694,518.16113333875,549.056994756254,573.141165798229,596.885985135589,629.538899449007
"Somalia, Fed. Rep.",SOM,"Population, total",SP.POP.TOTL,2876331,2952054,3030091,3110361,3192796,3277874,3365106,3454537,3546590,3641015,3738448,3837691,3939436,4045592,4151842,4257535,4365812,4484050,4814892,5449117,5936154,5982849,6003840,6198430,6428389,6693289,6974788,7228302,7235360,7114817,7082811,6813760,6495107,6681399,7026797,7285007,7554474,7824525,8155417,8492059,8838713,9198493,9550063,9909157,10280998,10644228,10975502,11322582,11663084,11961201,12261756,12348830,12461160,12869594,13339491,13806963,14348740,14916629,15452487,16030971,16651191,17271431,17801897,18358615,19009151
"Somalia, Fed. Rep.",SOM,"School enrollment, secondary (% gross)",SE.SEC.ENRR,..,..,..,..,..,..,..,..,..,..,..,2.82368993759155,3.15511989593506,3.59343004226685,4.09333992004395,..,5.43831014633179,3.01398992538452,3.05156993865967,3.91935992240906,4.23287010192871,12.7304697036743,13.0085096359253,12.4023199081421,12.030179977417,10.9152498245239,9.88348007202148,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6.01468992233276,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.34785008430481,..
South Africa,ZAF,Individuals using the Internet (% of population),IT.NET.USER.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0,0.0133,0.0389,0.114,0.247,0.677,0.842,1.63,2.91,4.12,5.34856,6.34662,6.71032,7.00769,8.42512,7.48854,7.60714,8.06538,8.43,10,24,33.97,41,46.5,49,51.9191,54,56.1674,62.4,69.6969,72.1128,74.9686,75.4556,75.6592,..
South Africa,ZAF,GDP per capita (current US$),NY.GDP.PCAP.CD,532.147504330332,545.657511922673,563.423008817945,604.536855270991,645.873375685446,684.62122774035,721.75375941418,778.839335829791,817.128340614066,890.922089102936,952.352188073537,1020.43983590718,1038.39407468283,1369.16160033933,1656.2890557998,1670.11816898954,1558.99824733487,1671.46618837272,1851.75191300848,2201.51922339868,3028.97447561832,3049.71474333882,2717.16388710425,2938.48980239675,2504.07736790289,1839.4841908184,2027.4662038189,2586.27423314228,2702.05504774508,2726.70980679488,3093.48920352334,3243.23616023953,3462.39400202835,3399.64009566241,3488.59711541763,3855.6340871567,3617.55336002932,3700.23554789867,3309.60933087472,3242.36830483958,3217.84693448467,2847.15191945908,2688.23676032806,4062.21755993786,5221.46333731721,5836.87663325127,6077.38293388876,6591.85535960564,6184.75474328399,6374.70560042992,7973.47195771517,8646.05571071635,8076.97678479741,7331.65467384919,6856.73137092522,6112.27382485974,5651.20585165749,6618.33508255701,6914.1780318076,6533.71121032856,5580.60383075189,6828.75624590017,6534.24867783397,6034.27208964673,6267.186814093
South Africa,ZAF,"Population, total",SP.POP.TOTL,16440172,16908035,17418522,17954564,18511361,19089380,19690087,20314066,20957287,21614676,22279984,22942143,23609456,24294263,24989108,25690940,26395450,27118952,27869507,28634162,29518857,30541044,31615339,32739304,33892788,35042093,36180515,37326190,38480649,39628575,40746268,41687898,42443509,43297156,44004139,44541554,45123018,45666838,46223880,46730335,47159719,47566800,48019415,48500348,48991421,49490033,49998277,50528584,51114599,51728516,52344051,52995205,53782567,54678791,55594838,56723537,57259551,57635162,58613001,59587885,60562381,61502603,62378410,63212384,64007187
South Africa,ZAF,"School enrollment, secondary (% gross)",SE.SEC.ENRR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,63.833080291748,67.8069534301758,72.5068588256836,..,..,86.9962615966797,..,..,..,82.7563323974609,79.1032485961914,74.3193817138672,73.9493103027344,74.4450225830078,75.5357818603516,78.2966613769531,80.4203414916992,83.7833480834961,85.5366287231445,84.0473480224609,85.9605407714844,86.5922045596808,88.9442291259766,92.1625137329102,..,101.163200378418,104.622812990742,103.855987548828,105.623168945312,101.399612936693,103.78912033531,103.501178102472,106.443303990911,104.535066506498,104.133480684239,..
South Sudan,SSD,Individuals using the Internet (% of population),IT.NET.USER.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.2,2.6,3,3.5,4.1,4.8,6.7,9.27123,..,..,..,..
South Sudan,SSD,GDP per capita (current US$),NY.GDP.PCAP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1654.21153546555,1323.22068747862,1498.27034985194,1448.98435006408,1109.26050083408,1650.18943353528,1242.73450181032,1080.14718624765,..,..,..,..,..,..,..,..,..
South Sudan,SSD,"Population, total",SP.POP.TOTL,2931559,2976724,3024308,3072669,3129918,3189835,3236423,3277648,3321528,3365533,3409614,3468646,3542497,3627383,3723259,3821494,3921910,4024032,4127657,4232605,4339030,4447272,4557686,4661574,4750627,4834296,4921240,4962395,4848029,4713229,4737633,4836677,4909749,4956002,5071184,5225836,5356925,5509136,5620068,5771628,6032267,6308391,6596806,6903127,7233041,7590143,7976526,8388788,8817647,9243556,9745953,10288109,10756240,11166275,11235073,11107561,10830102,10259154,10122977,10423384,10698467,10865780,11021177,11483374,11943408
South Sudan,SSD,"School enrollment, secondary (% gross)",SE.SEC.ENRR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,10.8023195266724,..,..,..,11.5348100662231,..,..,..,..,..,..,..,..,122.120628356934
Spain,ESP,Individuals using the Internet (% of population),IT.NET.USER.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.0129,0.0257,0.0768,0.128,0.28,0.381,1.33,2.8,4.36,7.09,13.625,18.1487,20.39,39.93,44.01,47.88,50.37,55.11,59.6,62.4,65.8,67.09,69.81,71.635,76.1867,78.6896,80.5613,84.6022,86.1072,90.7187,93.2056,93.8975,94.4855,95.4456,95.7575
